ID MatID Type N1 N2 N3
1 1 3 1 2 23
2 1 3 1 23 22
3 1 3 22 23 44
4 1 3 22 44 43
5 1 3 43 44 65
6 1 3 43 65 64
7 1 3 64 65 86
8 1 3 64 86 85
9 1 3 85 86 107
10 1 3 85 107 106
11 1 3 106 107 128
12 1 3 106 128 127
13 1 3 127 128 149
14 1 3 127 149 148
15 1 3 148 149 170
16 1 3 148 170 169
17 1 3 169 170 191
18 1 3 169 191 190
19 1 3 190 191 212
20 1 3 190 212 211
21 1 3 2 3 24
22 1 3 2 24 23
23 1 3 23 24 45
24 1 3 23 45 44
25 1 3 44 45 66
26 1 3 44 66 65
27 1 3 65 66 87
28 1 3 65 87 86
29 1 3 86 87 108
30 1 3 86 108 107
31 1 3 107 108 129
32 1 3 107 129 128
33 1 3 128 129 150
34 1 3 128 150 149
35 1 3 149 150 171
36 1 3 149 171 170
37 1 3 170 171 192
38 1 3 170 192 191
39 1 3 191 192 213
40 1 3 191 213 212
41 1 3 3 4 25
42 1 3 3 25 24
43 1 3 24 25 46
44 1 3 24 46 45
45 1 3 45 46 67
46 1 3 45 67 66
47 1 3 66 67 88
48 1 3 66 88 87
49 1 3 87 88 109
50 1 3 87 109 108
51 1 3 108 109 130
52 1 3 108 130 129
53 1 3 129 130 151
54 1 3 129 151 150
55 1 3 150 151 172
56 1 3 150 172 171
57 1 3 171 172 193
58 1 3 171 193 192
59 1 3 192 193 214
60 1 3 192 214 213
61 1 3 4 5 26
62 1 3 4 26 25
63 1 3 25 26 47
64 1 3 25 47 46
65 1 3 46 47 68
66 1 3 46 68 67
67 1 3 67 68 89
68 1 3 67 89 88
69 1 3 88 89 110
70 1 3 88 110 109
71 1 3 109 110 131
72 1 3 109 131 130
73 1 3 130 131 152
74 1 3 130 152 151
75 1 3 151 152 173
76 1 3 151 173 172
77 1 3 172 173 194
78 1 3 172 194 193
79 1 3 193 194 215
80 1 3 193 215 214
81 1 3 5 6 27
82 1 3 5 27 26
83 1 3 26 27 48
84 1 3 26 48 47
85 1 3 47 48 69
86 1 3 47 69 68
87 1 3 68 69 90
88 1 3 68 90 89
89 1 3 89 90 111
90 1 3 89 111 110
91 1 3 110 111 132
92 1 3 110 132 131
93 1 3 131 132 153
94 1 3 131 153 152
95 1 3 152 153 174
96 1 3 152 174 173
97 1 3 173 174 195
98 1 3 173 195 194
99 1 3 194 195 216
100 1 3 194 216 215
101 1 3 6 7 28
102 1 3 6 28 27
103 1 3 27 28 49
104 1 3 27 49 48
105 1 3 48 49 70
106 1 3 48 70 69
107 1 3 69 70 91
108 1 3 69 91 90
109 1 3 90 91 112
110 1 3 90 112 111
111 1 3 111 112 133
112 1 3 111 133 132
113 1 3 132 133 154
114 1 3 132 154 153
115 1 3 153 154 175
116 1 3 153 175 174
117 1 3 174 175 196
118 1 3 174 196 195
119 1 3 195 196 217
120 1 3 195 217 216
121 1 3 7 8 29
122 1 3 7 29 28
123 1 3 28 29 50
124 1 3 28 50 49
125 1 3 49 50 71
126 1 3 49 71 70
127 1 3 70 71 92
128 1 3 70 92 91
129 1 3 91 92 113
130 1 3 91 113 112
131 1 3 112 113 134
132 1 3 112 134 133
133 1 3 133 134 155
134 1 3 133 155 154
135 1 3 154 155 176
136 1 3 154 176 175
137 1 3 175 176 197
138 1 3 175 197 196
139 1 3 196 197 218
140 1 3 196 218 217
141 1 3 8 9 30
142 1 3 8 30 29
143 1 3 29 30 51
144 1 3 29 51 50
145 1 3 50 51 72
146 1 3 50 72 71
147 1 3 71 72 93
148 1 3 71 93 92
149 1 3 92 93 114
150 1 3 92 114 113
151 1 3 113 114 135
152 1 3 113 135 134
153 1 3 134 135 156
154 1 3 134 156 155
155 1 3 155 156 177
156 1 3 155 177 176
157 1 3 176 177 198
158 1 3 176 198 197
159 1 3 197 198 219
160 1 3 197 219 218
161 1 3 9 10 31
162 1 3 9 31 30
163 1 3 30 31 52
164 1 3 30 52 51
165 1 3 51 52 73
166 1 3 51 73 72
167 1 3 72 73 94
168 1 3 72 94 93
169 1 3 93 94 115
170 1 3 93 115 114
171 1 3 114 115 136
172 1 3 114 136 135
173 1 3 135 136 157
174 1 3 135 157 156
175 1 3 156 157 178
176 1 3 156 178 177
177 1 3 177 178 199
178 1 3 177 199 198
179 1 3 198 199 220
180 1 3 198 220 219
181 1 3 10 11 32
182 1 3 10 32 31
183 1 3 31 32 53
184 1 3 31 53 52
185 1 3 52 53 74
186 1 3 52 74 73
187 1 3 73 74 95
188 1 3 73 95 94
189 1 3 94 95 116
190 1 3 94 116 115
191 1 3 115 116 137
192 1 3 115 137 136
193 1 3 136 137 158
194 1 3 136 158 157
195 1 3 157 158 179
196 1 3 157 179 178
197 1 3 178 179 200
198 1 3 178 200 199
199 1 3 199 200 221
200 1 3 199 221 220
201 1 3 11 12 33
202 1 3 11 33 32
203 1 3 32 33 54
204 1 3 32 54 53
205 1 3 53 54 75
206 1 3 53 75 74
207 1 3 74 75 96
208 1 3 74 96 95
209 1 3 95 96 117
210 1 3 95 117 116
211 1 3 116 117 138
212 1 3 116 138 137
213 1 3 137 138 159
214 1 3 137 159 158
215 1 3 158 159 180
216 1 3 158 180 179
217 1 3 179 180 201
218 1 3 179 201 200
219 1 3 200 201 222
220 1 3 200 222 221
221 1 3 12 13 34
222 1 3 12 34 33
223 1 3 33 34 55
224 1 3 33 55 54
225 1 3 54 55 76
226 1 3 54 76 75
227 1 3 75 76 97
228 1 3 75 97 96
229 1 3 96 97 118
230 1 3 96 118 117
231 1 3 117 118 139
232 1 3 117 139 138
233 1 3 138 139 160
234 1 3 138 160 159
235 1 3 159 160 181
236 1 3 159 181 180
237 1 3 180 181 202
238 1 3 180 202 201
239 1 3 201 202 223
240 1 3 201 223 222
241 1 3 13 14 35
242 1 3 13 35 34
243 1 3 34 35 56
244 1 3 34 56 55
245 1 3 55 56 77
246 1 3 55 77 76
247 1 3 76 77 98
248 1 3 76 98 97
249 1 3 97 98 119
250 1 3 97 119 118
251 1 3 118 119 140
252 1 3 118 140 139
253 1 3 139 140 161
254 1 3 139 161 160
255 1 3 160 161 182
256 1 3 160 182 181
257 1 3 181 182 203
258 1 3 181 203 202
259 1 3 202 203 224
260 1 3 202 224 223
261 1 3 14 15 36
262 1 3 14 36 35
263 1 3 35 36 57
264 1 3 35 57 56
265 1 3 56 57 78
266 1 3 56 78 77
267 1 3 77 78 99
268 1 3 77 99 98
269 1 3 98 99 120
270 1 3 98 120 119
271 1 3 119 120 141
272 1 3 119 141 140
